code,code_name,ipoDate,industry,website,total_share,market_cap,price,pe,pb,roe,eps,bps,cash,short_term_borrowing,interest_bearing_debt,gross_profit_margin,net_profit,operating_expense,research_and_development,operating_cash_flow,investment_cash_flow,financing_cash_flow,value_lt_15
sh.605020,永和股份,2021-07-09,C26化学原料和化学制品制造业,https://www.qhyh.com,"510,818,723","12,893,064,192",25.24,18.558823,2.150831,13.72%,1.36,11.735,"132,482,095.11","1,126,165,215.33","896,955,264",18%,"252,348,531.75","436,560,170.65","104,302,963.02","582,531,779.26","-956,354,211.83","299,167,450.89",0
sh.605028,世茂能源,2021-07-12,D44电力、热力生产和供应业,https://www.shimaoenergy.com,"160,000,000","4,611,200,000",28.82,26.685184,3.361717,12.55%,1.08,8.573,"113,596,918.57",,"1,730,848",54%,"172,382,174.65","57,946,455.38","11,456,688.01","194,725,179.13","-75,548,071.97","-177,306,125.0",0
sh.605033,美邦股份,2021-09-16,C26化学原料和化学制品制造业,https://www.meibang.cn,"135,200,000","3,123,120,128",23.1,105.0,2.7221305,2.61%,0.22,8.486,"267,862,944.94",0.0,"150,000,000",29%,"36,859,267.58","215,643,123.79","74,326,766.69","280,399,028.44","-537,468,052.35","24,853,234.63",0
sh.605050,福然德,2020-09-24,G58多式联运和运输代理业,https://www.scmfriend.com,"492,829,181","7,210,091,008",14.63,20.319445,1.6825763,8.27%,0.72,8.695,"1,278,358,260.38","1,205,383,779.65","2,114,748,544",5%,"327,180,925.18","104,449,809.21","5,285,962.96","66,984,068.74","-569,079,823.46","433,702,639.24",0
sh.605055,迎丰股份,2021-01-29,C17纺织业,https://www.zj-yfkj.com,"440,000,000","4,034,800,128",9.17,,3.787691,-2.87%,-0.07,2.421,"329,099,827.35","663,119,986.17","1,227,454,080",16%,"39,830,971.02","173,485,561.51","60,768,446.2","492,715,087.25","-382,442,438.56","19,365,098.46",0
sh.605056,咸亨国际,2021-07-20,F51批发业,https://www.xianhengguoji.com,"409,393,200","9,583,895,552",23.41,37.15873,5.7209187,16.61%,0.63,4.092,"832,176,761.83","29,460,717.83","82,694,984",30%,"239,693,097.31","718,030,734.76","67,647,757.03","288,775,528.54","-172,707,691.65","-168,370,719.36",0
sh.605058,澳弘电子,2020-10-21,C39计算机、通信和其他电子设备制造业,https://www.czaohong.com,"142,923,950","4,750,792,192",33.24,31.961542,2.724367,8.64%,1.04,12.201,"829,328,699.12","167,780,476.23","282,494,464",22%,"141,498,579.04","149,365,294.01","65,555,870.25","273,299,638.91","-50,626,208.47","29,620,176.67",0
sh.605060,联德股份,2021-03-01,C34通用设备制造业,https://www.allied-machinery.com,"240,592,000","12,960,691,200",53.87,59.1978,5.358599,9.33%,0.91,10.053,"773,051,610.49","206,111,558.34","296,131,488",34%,"187,547,827.15","166,944,776.56","67,508,250.96","297,797,237.47","-208,306,787.94","-4,434,815.27",0
sh.605066,天正电气,2020-08-07,C38电气机械和器材制造业,https://www.tengen.com,"504,750,125","4,098,570,752",8.12,32.48,2.2957308,6.86%,0.25,3.537,"725,295,587.36",,"31,141,976",25%,"121,370,769.09","599,728,032.5","161,056,819.46","112,346,221.51","-210,196,785.97","-163,508,784.73",0
sh.605068,明新旭腾,2020-11-23,C19皮革、毛皮、羽毛及其制品和制鞋业,https://www.mingxinleather.com,"162,198,495","4,413,421,056",27.21,,2.6797318,-12.78%,-1.38,10.154,"261,180,204.3","250,695,051.18","1,045,483,776",20%,"-172,154,186.81","194,992,864.58","102,892,631.03","14,422,508.6","-285,354,110.21","-30,901,363.47",
sh.605069,正和生态,2021-08-16,N77生态保护和环境治理业,https://www.zeho.com.cn,"211,697,778","2,536,139,264",11.98,,2.9704933,-18.53%,-0.91,4.033,"89,066,996.45","108,000,000.0","964,749,056",12%,"-169,653,033.5","124,901,451.8","18,602,120.63","154,448,106.54","-164,031.67","-162,643,830.22",
sh.605077,华康股份,2021-02-09,C14食品制造业,https://www.huakangpharma.com,"303,049,933","4,469,986,304",14.75,19.155844,1.4306498,7.91%,0.77,10.31,"434,211,476.64","150,298,721.91","3,097,405,696",22%,"268,789,377.0","314,457,495.58","128,408,556.92","146,496,348.45","-1,586,079,517.35","-310,543,544.82",0
sh.605080,浙江自然,2021-05-06,C17纺织业,https://www.zjnature.com,"141,540,840","3,193,161,216",22.56,15.452054,1.4387754,9.83%,1.46,15.68,"180,969,002.38",,"1,473,826",34%,"189,743,005.83","139,157,205.32","36,481,131.18","156,803,849.49","-292,926,860.69","-26,251,970.15",0
sh.605081,*ST太和,2021-02-09,N77生态保护和环境治理业,https://www.shtaihe.net,"113,247,072","883,327,168",7.8,,0.9900991,-35.31%,-3.36,7.878,"188,229,802.82","28,958,277.78","76,375,736",-1%,"-334,817,985.55","109,522,739.51","7,379,885.74","-127,382,973.29","63,418,569.65","6,452,723.31",
sh.605086,龙高股份,2021-04-16,B10非金属矿采选业,https://www.longgaogf.com,"179,200,000","6,263,040,000",34.95,56.370968,4.899075,8.93%,0.62,7.134,"18,112,450.66",,0,60%,"127,961,474.59","67,784,279.9","10,088,857.79","153,486,469.32","-356,815,431.19","-80,563,200.0",0
sh.605088,冠盛股份,2020-08-17,C36汽车制造业,https://www.gsp.cn,"202,726,053","6,817,677,312",33.63,20.888199,2.2568955,10.86%,1.61,14.901,"1,259,953,035.83","872,565,389.17","1,728,289,664",25%,"291,686,644.04","608,666,844.56","134,093,678.09","314,169,143.67","-652,019,495.2","373,064,753.06",0
sh.605089,味知香,2021-04-27,C13农副食品加工业,https://www.weizhixiang.com,"138,000,000","3,183,660,032",23.07,42.72222,2.5690424,5.99%,0.54,8.98,"192,872,367.59","19,688,892.5",0,25%,"87,528,518.86","83,255,118.21","3,339,431.15","104,171,368.15","-636,209,400.83","-117,932,113.15",0
sh.605098,行动教育,2021-04-21,P83教育,https://www.xdjy100.com,"119,251,100","6,177,207,296",51.8,21.404957,6.401384,30.49%,2.42,8.092,"1,427,271,920.46",,"33,558,784",76%,"271,453,230.0","322,591,954.54","21,652,300.89","399,545,223.41","-241,470,255.32","-285,101,395.87",0
sh.605099,共创草坪,2020-09-30,C29橡胶和塑料制品业,https://www.ccgrass.com,"402,531,754","16,982,813,696",42.19,26.70253,5.6517076,22.39%,1.58,7.465,"942,881,005.11","150,000,000.0","502,407,872",30%,"511,249,406.15","347,446,908.48","90,428,377.97","465,499,116.14","-319,925,153.48","-258,720,659.35",0
sh.605100,华丰股份,2020-08-11,C34通用设备制造业,https://www.powerhf.com,"170,730,000","6,974,320,128",40.85,215.0,4.9951086,1.88%,0.19,8.178,"299,561,094.72",,"93,886,872",16%,"73,587,976.13","85,382,048.48","31,914,436.42","263,542,475.0","-289,077,939.19","-69,083,262.1",0
sh.605108,同庆楼,2020-07-16,H62餐饮业,https://tongqinglou.cn,"260,000,000","4,253,600,256",16.36,86.10527,1.8968117,2.11%,0.19,8.625,"150,121,895.63","407,535,116.93","2,637,823,488",19%,"100,084,316.8","276,549,792.14","2,299,863.24","410,275,505.4","-1,089,659,072.26","710,846,570.93",0
sh.605111,新洁能,2020-09-28,C39计算机、通信和其他电子设备制造业,https://www.ncepower.com,"415,332,567","15,795,097,600",38.03,35.877357,3.7059052,10.48%,1.06,10.262,"2,063,303,100.03",,"1,109,848",36%,"431,047,988.87","177,863,122.89","103,745,624.2","294,876,017.25","-744,444,239.42","-159,557,393.63",0
sh.605116,奥锐特,2020-09-21,C27医药制造业,https://www.aurisco.com,"406,183,234","10,792,288,256",26.57,25.066038,4.247123,17.66%,1.06,6.256,"769,439,830.87","20,017,416.67","991,157,184",59%,"354,792,033.04","452,042,642.54","146,340,285.17","332,405,825.62","-726,773,650.43","734,367,124.81",0
sh.605118,力鼎光电,2020-07-30,C39计算机、通信和其他电子设备制造业,https://www.leadingoptics.com,"411,328,000","15,897,827,328",38.65,56.838238,10.597752,18.85%,0.68,3.647,"487,103,463.86","22,987,157.05","29,075,024",43%,"176,160,138.34","84,858,229.74","46,360,719.48","230,010,298.85","28,093,126.61","-118,055,636.51",0
sh.605122,四方新材,2021-03-10,C30非金属矿物制品业,https://www.cqsifang.com,"172,354,000","2,231,984,384",12.95,,1.1123518,-10.45%,-1.22,11.642,"257,520,915.53","421,669,134.26","457,027,328",14%,"-172,184,828.62","117,525,404.85","7,659,371.55","11,802,842.27","-20,183,416.83","-155,324,672.85",
sh.605123,派克新材,2020-08-25,C33金属制品业,https://www.wuxipaike.com,"121,170,892","11,522,140,160",95.09,45.716347,2.519007,5.62%,2.08,37.749,"2,082,429,132.9","510,340,343.06","730,315,840",16%,"252,374,397.68","284,638,703.74","167,607,244.32","829,128,626.53","-174,166,586.99","161,346,728.8",0
sh.605128,上海沿浦,2020-09-15,C36汽车制造业,https://www.shyanpu.com,"211,138,706","6,897,901,056",32.67,69.510635,3.294343,8.94%,0.47,9.917,"481,333,294.09","116,080,070.83","61,524,660",17%,"136,083,820.85","162,035,357.72","70,881,419.4","253,173,811.67","-199,989,097.36","371,117,084.27",0
sh.605133,嵘泰股份,2021-02-24,C36汽车制造业,https://www.rtco.com.cn,"282,769,152","7,521,659,392",26.6,49.25926,2.0461538,6.50%,0.54,13.0,"179,024,792.63","770,393,447.67","1,242,234,240",24%,"182,255,630.76","298,703,988.99","103,135,376.92","383,092,117.11","-471,607,700.85","53,720,796.76",0
sh.605136,丽人丽妆,2020-09-29,F52零售业,https://www.lrlz.com,"400,458,500","4,032,616,960",10.07,,1.6478481,-1.41%,-0.08,6.111,"833,765,764.39",,"7,317,198",36%,"-26,207,446.68","641,548,529.38","23,434,783.81","437,522,648.25","-787,186,452.88","-40,986,072.81",
sh.605138,盛泰集团,2021-10-27,C18纺织服装、服饰业,https://www.smart-shirts.com.cn,"555,571,397","3,755,662,848",6.76,84.50001,1.4779187,1.85%,0.08,4.574,"405,895,679.76","893,669,728.47","3,207,143,936",16%,"40,201,511.39","356,918,896.18","14,182,702.14","606,699,987.88","112,105,511.08","-804,542,058.92",0
sh.605151,西上海,2020-12-15,C36汽车制造业,https://www.wsasc.com.cn,"134,554,222","2,442,159,104",18.15,,1.7920616,0.58%,-0.1,10.128,"299,419,117.45","34,010,280.56","290,224,160",18%,"50,652,988.33","178,280,794.72","56,921,767.42","-18,702,322.46","-41,955,578.33","120,782,323.41",0
sh.605155,西大门,2020-12-31,C17纺织业,https://xidamen.com,"191,298,100","3,083,725,568",16.12,26.866667,2.2949886,9.61%,0.6,7.024,"339,005,975.09",,"5,082,940",44%,"111,673,691.68","269,786,251.66","29,898,289.54","197,312,058.85","-157,224,562.93","-24,726,578.62",0
sh.605158,华达新材,2020-08-05,C33金属制品业,https://www.hdnew.cn,"511,420,000","3,779,393,792",7.39,23.09375,1.5020325,6.63%,0.32,4.92,"4,663,617,213.06","2,648,761,588.86","2,255,121,152",6%,"229,407,145.24","260,499,341.85","224,613,569.82","-2,364,249,561.39","1,090,118,104.92","2,116,130,277.28",1
sh.605162,新中港,2021-07-07,D44电力、热力生产和供应业,https://www.zjxzgrd.com,"400,583,002","4,358,343,168",10.88,30.222221,3.1005983,11.45%,0.36,3.509,"371,364,565.57","20,020,319.45","374,067,072",30%,"145,513,051.28","72,249,767.46","31,277,417.14","286,190,295.24","-313,779,900.69","-52,087,302.3",0
sh.605166,聚合顺,2020-06-18,C26化学原料和化学制品制造业,https://www.jhspa6.com,"314,732,646","3,191,389,184",10.14,19.882355,1.6131086,11.31%,0.51,6.286,"2,764,636,931.51",,"982,112,256",8%,"365,526,561.38","183,967,999.08","179,071,375.59","38,683,316.28","-440,239,811.9","607,653,832.56",1
sh.605167,利柏特,2021-07-26,E48土木工程建筑业,https://www.cnlbt.com,"449,070,000","7,396,183,040",16.47,32.94,3.671422,11.55%,0.5,4.486,"809,911,056.2","39,816,300.83","593,367,104",16%,"240,493,449.06","246,710,368.83","77,688,492.33","414,504,926.18","-119,393,369.13","6,533,679.73",0
sh.605168,三人行,2020-05-28,L72商务服务业,https://www.topsrx.com,"210,816,986","7,311,133,184",34.68,108.375,2.7298489,3.13%,0.32,12.704,"624,579,701.69","641,808,274.2","430,779,232",18%,"123,177,955.03","430,754,348.6","53,053,173.69","122,161,563.25","-31,599,251.58","-348,545,345.68",0
sh.605169,洪通燃气,2020-10-30,D45燃气生产和供应业,https://www.xjhtrq.com,"282,880,000","3,821,708,800",13.51,37.52778,1.9168559,5.06%,0.36,7.048,"829,414,767.05","108,088,664.84","201,657,872",16%,"173,744,581.64","210,608,069.79",,"275,141,236.03","-153,001,219.72","-103,018,898.97",0
sh.605177,东亚药业,2020-11-25,C27医药制造业,https://www.eapharm.cn,"114,726,119","2,419,574,016",21.09,,1.3063678,-11.39%,-1.93,16.144,"513,176,766.27","98,938,644.45","990,388,416",28%,"-100,699,459.5","295,881,234.98","117,016,684.56","-156,549,765.4","-90,159,116.32","31,539,308.19",
sh.605178,时空科技,2020-08-21,E50建筑装饰、装修和其他建筑业,https://www.nnlighting.com,"99,080,000","6,749,329,920",68.12,,5.5220494,-17.74%,-2.44,12.336,"229,401,260.45","79,259,317.64","151,906,912",10%,"-266,370,970.44","163,647,508.21","11,573,904.45","78,458,690.11","-19,408,002.1","-56,538,951.23",
sh.605179,一鸣食品,2020-12-28,C14食品制造业,https://www.inm.cn,"401,000,000","6,957,350,400",17.35,173.5,6.176575,3.43%,0.1,2.809,"373,235,302.92","374,484,072.19","548,232,896",29%,"28,943,830.41","704,076,264.12","55,888,536.67","359,159,448.1","-209,875,222.1","-141,744,763.33",0
sh.605180,华生科技,2021-04-30,C17纺织业,https://cn.huashengflex.com,"169,000,000","2,457,260,032",14.54,96.93333,2.1496155,2.34%,0.15,6.764,"363,626,669.61","10,008,861.11","53,333,260",29%,"49,423,019.15","36,971,165.9","12,834,296.64","3,142,148.66","-183,459,445.82","-3,661,777.78",0
sh.605183,确成股份,2020-12-07,C26化学原料和化学制品制造业,https://www.quechen.com,"415,883,145","8,259,439,104",19.86,14.391305,2.267641,16.42%,1.38,8.758,"815,693,282.11","75,735,818.38","61,222,452",34%,"540,531,632.41","184,016,218.33","74,615,017.97","585,304,297.1","-49,284,075.21","-219,965,509.8",1
sh.605186,健麾信息,2020-12-22,C35专用设备制造业,https://www.g-healthy.com,"136,000,000","2,600,320,000",19.12,318.6667,2.4074543,0.90%,0.06,7.942,"123,838,936.62","126,254,284.93","182,994,288",39%,"32,586,369.25","89,880,471.29","21,096,708.14","17,677,554.78","-189,132,903.03","59,840,332.19",0
sh.605188,国光连锁,2020-07-28,F52零售业,https://www.jxggls.com,"502,358,500","8,469,764,608",16.86,"1,686.0001",7.1775227,0.52%,0.01,2.349,"644,805,276.2",,"629,016,448",22%,"2,670,183.78","576,218,274.0",,"136,007,609.58","-179,103,382.06","-98,189,649.83",0
sh.605189,富春染织,2021-05-28,C17纺织业,https://fc858.com/Home/Index,"194,077,603","2,668,567,040",13.75,196.42857,1.4263484,2.46%,0.07,9.64,"708,509,955.34","1,667,273,469.97","2,426,477,056",12%,"126,098,923.18","188,560,157.6","118,580,586.67","-1,098,443,117.94","18,373,001.4","1,175,903,636.36",0
sh.605198,安德利,2020-09-18,C15酒、饮料和精制茶制造业,https://www.andre.com.cn,"270,536,000","12,849,528,832",38.45,40.473686,4.8444,12.97%,0.95,7.937,"236,454,035.09",,0,25%,"260,703,197.0","82,397,940.82","18,672,221.58","-109,204,275.26","-52,640,320.56","-144,559,330.82",0
sh.605199,ST葫芦娃,2020-07-10,C27医药制造业,https://www.huluwayaoye.com,"400,108,752","2,556,695,040",6.39,,3.7086475,-16.95%,-0.43,1.723,"254,293,484.89","411,322,166.85","1,315,943,296",48%,"-269,517,224.02","911,202,798.1","202,080,443.8","-149,115,614.99","-142,481,873.43","21,825,321.93",
sh.605208,永茂泰,2021-03-08,C32有色金属冶炼和压延加工业,https://www.ymtauto.com,"329,940,000","4,342,010,368",13.16,87.73333,1.9957538,2.48%,0.15,6.594,"50,651,388.31","801,755,251.93","1,995,965,056",6%,"37,509,624.41","120,516,913.22","100,670,458.03","-211,362,231.18","-274,733,097.24","427,965,521.92",0
sh.605218,伟时电子,2020-09-28,C39计算机、通信和其他电子设备制造业,https://www.ksways.com,"242,814,721","4,178,841,088",17.21,74.82608,2.7527192,3.77%,0.23,6.252,"489,628,581.61",,"398,009,472",13%,"55,984,069.63","221,721,544.12","121,689,992.37","187,279,435.65","-313,811,840.02","93,240,398.37",0
sh.605222,起帆电缆,2020-07-31,C38电气机械和器材制造业,https://www.qifancable.com,"412,903,098","8,369,546,240",20.27,56.305553,1.7268701,3.10%,0.36,11.738,"2,040,603,852.55","4,092,193,210.44","7,014,534,144",5%,"135,848,434.8","576,131,216.27","92,708,547.85","497,979,230.11","-495,709,544.89","-565,912,670.65",0
sh.605228,神通科技,2021-01-20,C36汽车制造业,https://www.shentongtech.com,"479,155,319","6,952,543,744",14.51,96.73333,3.6902342,4.00%,0.15,3.932,"791,095,975.29","6,551,600.0","562,394,432",19%,"-31,979,688.13","226,929,563.73","85,170,130.31","146,797,777.75","-209,813,555.09","-171,066,126.07",
sh.605255,天普股份,2020-08-25,C29橡胶和塑料制品业,https://www.tipgroupm.com,"134,080,000","13,649,344,512",101.8,424.1667,16.915918,3.97%,0.24,6.018,"89,295,697.69",,"1,555,294",39%,"33,066,025.6","80,400,950.32","21,651,281.51","83,657,297.57","19,020,157.94","-59,762,462.12",0
sh.605258,协和电子,2020-12-03,C39计算机、通信和其他电子设备制造业,https://www.xiehepcb.com,"88,000,000","2,872,320,000",32.64,41.316452,2.406015,5.71%,0.79,13.566,"300,996,902.51","59,042,029.15","63,013,416",20%,"71,229,556.84","100,428,289.58","37,973,198.02","93,852,544.21","-62,716,214.1","-31,822,565.96",0
sh.605259,绿田机械,2021-06-15,C34通用设备制造业,https://www.chinalutian.cn,"172,480,000","3,634,153,472",21.07,14.631944,2.0253773,14.38%,1.44,10.403,"988,528,565.57",,"9,440,825",18%,"186,082,668.79","205,837,898.69","86,356,573.21","188,058,084.65","-125,831,466.53","-62,903,321.52",1
sh.605266,健之佳,2020-12-01,F52零售业,https://www.jzj.cn,"154,542,928","2,897,679,872",18.75,22.590363,1.057828,4.84%,0.83,17.725,"776,050,445.72","1,603,841,723.27","4,475,963,904",36%,"127,957,923.76","2,958,523,463.35",,"508,975,086.49","-724,449,910.03","5,433,148.43",0
sh.605268,王力安防,2021-02-24,C33金属制品业,https://www.wanglianfang.com,"446,302,500","5,418,112,512",12.14,29.609756,3.2295823,10.46%,0.41,3.759,"327,834,340.03","707,044,149.09","748,090,560",27%,"136,205,342.93","574,363,665.03","78,019,843.76","97,358,504.05","-269,379,578.29","88,587,294.23",0
sh.605277,新亚电子,2021-01-06,C38电气机械和器材制造业,https://www.xinya-cn.com,"323,987,849","7,292,966,400",22.51,34.63077,4.6117597,13.91%,0.65,4.881,"240,616,342.64","640,817,416.47","1,000,533,120",15%,"153,068,904.1","310,934,506.51","124,691,190.41","61,064,371.79","-49,296,235.36","57,474,617.65",0
sh.605286,同力天启,2021-03-22,C34通用设备制造业,https://www.jstljx.com,"168,000,000","7,838,879,744",46.66,36.740158,3.69204,15.11%,1.27,12.638,"574,424,734.49","280,872,359.78","854,620,800",27%,"375,788,748.45","221,336,671.05","70,943,243.44","376,973,661.31","-467,670,126.06","-78,144,352.66",0
sh.605287,德才股份,2021-07-06,E50建筑装饰、装修和其他建筑业,https://www.decaigroup.com,"140,000,000","6,010,200,064",42.93,,3.7568915,-17.20%,-2.28,11.427,"1,867,382,616.5","2,472,136,573.82","3,024,380,928",11%,"-280,564,415.64","316,144,806.78","70,109,118.12","455,369,944.87","-206,910,226.66","-517,531,501.84",
sh.605288,凯迪股份,2020-06-01,C38电气机械和器材制造业,https://www.czkaidi.cn,"70,673,012","6,438,311,424",91.1,142.34375,2.8045437,2.00%,0.64,32.483,"671,379,598.04","5,000,000.0","50,747,992",23%,"86,699,950.99","214,074,690.89","66,331,792.09","166,744,966.31","-359,014,418.1","-32,662,242.45",0
sh.605289,罗曼股份,2021-04-26,E50建筑装饰、装修和其他建筑业,https://www.shluoman.cn,"109,007,500","11,123,126,272",102.04,,8.688692,-2.11%,-0.27,11.744,"422,144,708.03","46,846,562.57","501,805,888",24%,"-38,043,860.61","137,435,037.94","24,166,925.72","-55,084,790.19","-178,286,076.4","8,150,867.86",
sh.605296,神农集团,2021-05-28,A03畜牧业,https://www.ynsnjt.com,"524,764,418","14,751,127,552",28.11,21.96094,2.7895207,13.46%,1.28,10.077,"1,042,221,396.86","205,158,194.41","810,716,864",21%,"686,733,885.91","421,268,282.95","13,752,712.93","1,533,730,412.57","-979,258,213.86","-72,869,770.22",0
sh.605298,必得科技,2021-03-01,C37铁路、船舶、航空航天和其他运输设备制造业,https://bidekeji.com,"187,850,000","8,468,278,272",45.08,107.33334,8.11375,7.62%,0.42,5.556,"150,318,552.95","13,014,431.91","15,889,701",42%,"38,359,631.87","135,900,976.9","25,493,880.21","-50,160,156.6","-88,701,014.31","-58,173,340.24",0
sh.605299,舒华体育,2020-12-15,C24文教、工美、体育和娱乐用品制造业,https://www.shuhua.cn,"409,226,523","7,713,920,000",18.85,85.68182,6.039731,6.98%,0.22,3.121,"507,123,485.36","211,600,420.85","250,403,728",31%,"89,210,185.8","348,381,636.59","53,588,214.84","106,815,043.79","-27,756,826.28","-134,914,008.12",0
sh.605300,佳禾食品,2021-04-30,C14食品制造业,https://www.cograin.cn,"454,398,597","4,848,433,152",10.67,177.83334,1.6760917,1.24%,0.06,6.366,"501,484,395.94","234,458,680.92","284,046,560",16%,"85,914,666.69","276,453,094.51","28,689,623.08","295,578,029.16","-8,676,562.64","-493,916,887.07",0
sh.605303,园林股份,2021-03-01,E48土木工程建筑业,https://www.hzyllh.com,"161,237,408","2,757,159,680",17.1,,2.9863782,-22.68%,-1.44,5.726,"352,269,050.37","118,541,544.42","156,306,912",12%,"-191,637,462.87","122,193,297.86","10,535,789.08","85,376,502.61","-17,458,006.17","-92,427,007.64",
sh.605305,中际联合,2021-05-06,C35专用设备制造业,https://www.3sindustry.com,"212,520,000","8,891,836,416",41.84,17.289255,3.1181993,19.22%,2.42,13.418,"937,000,415.75","30,611,238.5","91,054,192",45%,"314,804,875.75","320,814,297.79","84,957,968.27","279,844,476.75","-220,089,283.3","-17,470,909.77",0
sh.605318,法狮龙,2020-08-03,C41其他制造业,https://www.fsilon.com,"125,729,028","9,495,056,384",75.52,,14.692607,-2.58%,-0.15,5.14,"269,125,972.93","124,077,993.42","77,608,840",18%,"-28,987,333.2","134,816,035.56","22,874,793.11","17,824,373.34","59,146,269.21","-171,386,693.77",
sh.605319,无锡振华,2021-06-07,C36汽车制造业,https://www.wxzhenhua.com.cn,"350,086,304","8,619,124,736",24.64,19.385828,3.3328822,18.12%,1.27,7.387,"184,446,158.04","730,547,841.59","1,079,045,248",26%,"377,864,819.25","167,757,183.29","62,817,169.39","468,961,438.09","-470,134,558.5","-50,947,913.94",0
sh.605333,沪光股份,2020-08-18,C36汽车制造业,https://www.kshg.com,"464,040,406","11,568,527,360",24.93,16.62,3.386768,24.43%,1.5,7.361,"496,648,654.63","745,813,541.9","2,007,303,168",17%,"670,343,984.96","458,456,469.6","257,736,226.77","387,001,081.8","-532,692,246.36","162,613,673.17",0
sh.605336,帅丰电器,2020-10-19,C38电气机械和器材制造业,https://www.sanfer.com,"183,412,450","2,831,888,128",15.44,140.36363,1.514765,1.00%,0.11,10.193,"389,050,268.24",,0,46%,"60,300,561.75","159,229,413.98","22,998,848.66","9,911,332.41","-659,986,223.42","-119,300,258.8",0
sh.605337,李子园,2021-02-08,C15酒、饮料和精制茶制造业,https://www.liziyuan.com,"390,102,273","4,244,312,832",10.88,20.148148,2.607862,13.08%,0.54,4.172,"624,767,417.7","30,000,000.0","822,395,456",39%,"223,803,666.91","278,317,773.59","19,622,844.72","360,408,945.85","-470,435,139.78","-311,647,342.98",0
sh.605338,巴比食品,2020-10-12,C14食品制造业,https://www.babifood.com,"239,566,662","6,168,841,216",25.75,21.822035,2.7228508,11.95%,1.18,9.457,"894,039,281.02",,"52,221,068",27%,"280,023,171.51","216,186,596.93","11,941,402.84","217,390,426.28","-153,126,990.15","-270,369,079.91",0
sh.605339,南侨食品,2021-05-18,C14食品制造业,https://www.ncbakery.com,"424,290,616","6,873,508,352",16.2,162.0,1.9938463,1.18%,0.1,8.125,"859,592,619.73","237,896,776.3","357,669,792",19%,"40,668,290.19","563,469,325.63","110,381,050.19","52,926,470.77","-358,529,205.33","-77,723,128.6",0
sh.605365,立达信,2021-07-20,C38电气机械和器材制造业,https://www.leedarson.com.cn,"502,012,876","9,096,473,600",18.12,34.188683,2.4397469,7.20%,0.53,7.427,"826,923,979.5","161,916,370.95","454,012,160",29%,"417,878,947.99","1,524,696,421.24","382,530,046.29","359,931,043.31","-476,276,203.55","-103,703,503.39",0
sh.605366,宏柏新材,2020-08-12,C26化学原料和化学制品制造业,https://www.hungpai.net,"776,077,700","8,940,414,976",11.52,,3.521859,-4.27%,-0.15,3.271,"887,106,869.49","237,331,465.39","1,288,708,864",11%,"-30,871,084.28","153,005,514.16","44,877,706.52","276,625,342.51","-545,686,468.03","887,414,748.01",
sh.605368,蓝天燃气,2021-01-29,D45燃气生产和供应业,https://www.hnltrq.com.cn,"714,635,915","5,931,478,016",8.3,19.302326,1.8146044,9.16%,0.43,4.574,"1,262,290,031.22","620,470,097.21","1,433,310,080",19%,"509,735,730.86","227,947,172.04",,"597,075,099.54","-191,573,360.62","-864,546,182.6",1
sh.605369,拱东医疗,2020-09-16,C35专用设备制造业,https://www.gongdong.com,"220,492,949","3,799,093,248",17.23,36.659573,2.2095408,5.98%,0.47,7.798,"303,188,874.77",,"187,875,552",33%,"171,503,875.76","203,637,932.87","53,045,507.65","210,379,332.01","-195,529,909.18","-118,232,214.42",0
sh.605377,华旺科技,2020-12-28,C22造纸和纸制品业,https://www.hwpaper.cn,"556,670,268","5,026,732,544",9.03,18.8125,1.3090751,6.89%,0.48,6.898,"2,083,110,491.19","616,622,129.77","396,584,704",16%,"468,674,339.1","106,106,272.92","107,268,771.68","516,068,951.37","-534,125,196.17","-540,708,301.77",1
sh.605378,野马电池,2021-04-12,C38电气机械和器材制造业,https://www.mustangbattery.com,"261,346,400","5,255,676,416",20.11,118.29412,4.2053533,7.24%,0.17,4.782,"212,295,584.11",,"85,472",21%,"152,775,069.6","115,295,315.47","38,883,485.53","80,702,368.92","19,056,153.38","-100,072,720.0",0
sh.605388,均瑶健康,2020-08-18,C15酒、饮料和精制茶制造业,https://www.juneyaodairy.com,"600,484,000","4,233,412,096",7.05,,2.406965,-5.12%,-0.14,2.929,"244,841,096.47",,"14,290,614",30%,"-33,436,878.68","418,038,382.56","34,642,214.07","32,645,604.62","-125,722,698.53","-141,706,151.23",
sh.605389,长龄液压,2021-03-22,C34通用设备制造业,https://www.changlingmach.cn,"144,087,070","10,482,334,720",72.75,92.08861,4.9794664,5.54%,0.79,14.61,"354,975,568.35",,"14,761,482",25%,"100,814,445.95","99,030,246.47","38,948,751.3","77,491,615.59","-405,406,470.52","-120,145,290.0",0
sh.605398,新炬网络,2021-01-21,I65软件和信息技术服务业,https://www.shsnc.com,"162,716,379","4,282,695,168",26.32,658.0,4.0952234,0.56%,0.04,6.427,"790,669,517.06","10,000,000.0","9,919,055",41%,"21,205,050.22","201,161,389.26","120,649,294.1","-68,284,475.23","-6,269,171.1","-75,480,969.15",0
sh.605399,晨光新材,2020-08-04,C26化学原料和化学制品制造业,https://www.cgsilane.com,"312,205,328","4,498,878,976",14.41,,0.42669746,-1.77%,-0.13,33.771,"466,846,665.28",,"474,685,888",15%,"40,980,427.5","132,119,416.88","49,316,785.78","40,359,732.51","-995,824,468.27","214,360,606.87",0
