code,code_name,ipoDate,industry,website,total_share,market_cap,price,pe,pb,roe,eps,bps,cash,short_term_borrowing,interest_bearing_debt,gross_profit_margin,net_profit,operating_expense,research_and_development,operating_cash_flow,investment_cash_flow,financing_cash_flow,value_lt_15
sh.600172,黄河旋风,1998-11-26,C30非金属矿物制品业,https://www.hhxf.com,"1,442,184,476","11,494,209,536",7.97,,11.635036,-69.70%,-0.78,0.685,"319,298,053.85","2,829,331,029.56","5,143,694,848",3%,"-983,426,898.92","271,854,167.28","59,821,908.03","41,288,068.39","82,459,015.63","-121,750,921.76",
sh.600173,卧龙新能,1999-04-15,K70房地产业,https://www.wolong-re.com,"700,506,244","5,604,049,920",8.0,,1.4440433,0.10%,-0.27,5.54,"460,592,971.77","180,073,333.33","1,221,261,312",17%,"-115,841,395.1","286,328,360.71","21,821,916.23","996,223,186.34","-991,673,875.4","-98,516,234.56",
sh.600178,东安动力,1998-10-14,C36汽车制造业,https://www.daae.com.cn,"466,476,161","5,275,845,632",11.31,"1,131.0001",2.0740876,0.15%,0.01,5.453,"1,329,421,050.68","155,897,440.29","375,281,312",4%,"7,568,882.89","245,979,935.73","73,055,289.69","-177,192,943.18","440,827,351.57","-189,026,424.58",0
sh.600179,安通控股,1998-11-04,G58多式联运和运输代理业,https://www.antongmt.com,"4,231,526,979","18,787,979,264",4.44,17.076923,1.6414049,10.23%,0.26,2.705,"2,340,503,458.09","171,000,000.0","1,036,640,896",19%,"1,086,317,399.06","344,394,992.94","2,370,497.01","2,162,236,441.51","-2,655,824,546.67","99,416,108.98",0
sh.600180,瑞茂通,1998-07-03,F51批发业,https://www.ccsoln.com,"1,086,627,464","3,781,463,552",3.48,348.0,0.4759951,0.21%,0.01,7.311,"3,744,931,958.69","3,395,753,441.32","5,445,035,520",4%,"72,819,850.81","598,183,220.02","3,882,290.73","-788,997,803.8","12,859,185.56","360,418,266.25",0
sh.600182,S佳通,1999-05-07,C29橡胶和塑料制品业,https://www.gititirecorp.com,"340,000,000","4,688,600,064",13.79,33.634148,4.1586246,14.56%,0.41,3.316,"591,433,702.39",,"854,001,536",18%,"351,380,148.17","365,386,666.85","29,936,994.86","573,037,594.97","-188,203,566.19","-91,988,577.55",1
sh.600184,光电股份,2003-11-06,C35专用设备制造业,https://www.northeo.com,"582,727,468","9,591,694,336",16.46,,2.8306103,-6.11%,-0.36,5.815,"437,310,793.67","9,144,776.07","101,243,360",10%,"-206,094,587.49","342,980,249.86","170,302,749.53","50,188,108.95","-152,007,500.54","-28,994,993.59",
sh.600185,珠免集团,1999-06-11,L72商务服务业,https://zhzmgroup.com,"1,885,005,795","11,234,634,752",5.96,,19.605265,-29.93%,-0.79,0.304,"5,064,954,792.24","4,959,389,702.4","11,581,238,272",31%,"-1,129,339,479.01","1,139,807,033.37","4,162,652.7","768,750,074.03","-33,778,301.67","-956,751,303.4",
sh.600186,莲花控股,1998-08-25,C14食品制造业,https://www.mylotushealth.com,"1,792,764,641","12,818,267,136",7.15,42.058823,6.595941,17.76%,0.17,1.084,"1,730,135,915.98","140,104,722.44","615,957,056",25%,"199,547,068.08","354,585,537.28","40,587,568.05","652,264,004.21","-755,473,185.53","591,201,070.23",0
sh.600187,国中水务,1998-11-11,D46水的生产和供应业,https://www.interchinawater.com,"1,613,781,103","3,163,011,072",1.97,196.00002,0.9944191,0.43%,0.01,1.971,"209,119,339.32",,"57,684,512",31%,"40,909,582.76","59,624,760.22","3,486,307.56","-4,351,744.6","-162,495,429.14","-39,070,915.01",0
